config,is_criticals,parallel_threads,machine_splits,timing
3_AFP,"absolute time (0:01:00)",\_→1,"per critical node",103.72761666666666
3_AFP,"absolute time (0:01:00)",\_→1,"fixed fraction (0.1)",306.13168333333334
3_AFP,"absolute time (0:01:00)",\_→1,"fixed fraction (0.3)",146.89038333333335
3_AFP,"absolute time (0:01:00)",\_→1,"fixed fraction (0.5)",130.30536666666666
3_AFP,"absolute time (0:01:00)",\_→1,"host speed (0.5)",160.46045
3_AFP,"absolute time (0:01:00)",\_→1,"host speed (0.7)",160.46045
3_AFP,"absolute time (0:01:00)",\_→1,"host speed (0.9)",160.46045
3_AFP,"absolute time (0:01:00)",\_→4,"per critical node",109.08786666666667
3_AFP,"absolute time (0:01:00)",\_→4,"fixed fraction (0.1)",306.13168333333334
3_AFP,"absolute time (0:01:00)",\_→4,"fixed fraction (0.3)",146.89038333333335
3_AFP,"absolute time (0:01:00)",\_→4,"fixed fraction (0.5)",128.97363333333334
3_AFP,"absolute time (0:01:00)",\_→4,"host speed (0.5)",159.1399
3_AFP,"absolute time (0:01:00)",\_→4,"host speed (0.7)",159.1399
3_AFP,"absolute time (0:01:00)",\_→4,"host speed (0.9)",159.1399
3_AFP,"absolute time (0:01:00)",\_→8,"per critical node",117.01681666666667
3_AFP,"absolute time (0:01:00)",\_→8,"fixed fraction (0.1)",306.13168333333334
3_AFP,"absolute time (0:01:00)",\_→8,"fixed fraction (0.3)",146.89038333333335
3_AFP,"absolute time (0:01:00)",\_→8,"fixed fraction (0.5)",128.97363333333334
3_AFP,"absolute time (0:01:00)",\_→8,"host speed (0.5)",159.10601666666668
3_AFP,"absolute time (0:01:00)",\_→8,"host speed (0.7)",159.10601666666668
3_AFP,"absolute time (0:01:00)",\_→8,"host speed (0.9)",159.10601666666668
3_AFP,"absolute time (0:01:00)","1→1 \_→8","per critical node",103.72761666666666
3_AFP,"absolute time (0:01:00)","1→1 \_→8","fixed fraction (0.1)",306.13168333333334
3_AFP,"absolute time (0:01:00)","1→1 \_→8","fixed fraction (0.3)",146.89038333333335
3_AFP,"absolute time (0:01:00)","1→1 \_→8","fixed fraction (0.5)",130.30536666666666
3_AFP,"absolute time (0:01:00)","1→1 \_→8","host speed (0.5)",160.46045
3_AFP,"absolute time (0:01:00)","1→1 \_→8","host speed (0.7)",160.46045
3_AFP,"absolute time (0:01:00)","1→1 \_→8","host speed (0.9)",160.46045
3_AFP,"absolute time (0:01:00)","1→1 5→4 \_→8","per critical node",103.72761666666666
3_AFP,"absolute time (0:01:00)","1→1 5→4 \_→8","fixed fraction (0.1)",306.13168333333334
3_AFP,"absolute time (0:01:00)","1→1 5→4 \_→8","fixed fraction (0.3)",146.89038333333335
3_AFP,"absolute time (0:01:00)","1→1 5→4 \_→8","fixed fraction (0.5)",130.30536666666666
3_AFP,"absolute time (0:01:00)","1→1 5→4 \_→8","host speed (0.5)",160.46045
3_AFP,"absolute time (0:01:00)","1→1 5→4 \_→8","host speed (0.7)",160.46045
3_AFP,"absolute time (0:01:00)","1→1 5→4 \_→8","host speed (0.9)",160.46045
3_AFP,"absolute time (0:01:00)","1→1 5→2 10→4 \_→8","per critical node",103.72761666666666
3_AFP,"absolute time (0:01:00)","1→1 5→2 10→4 \_→8","fixed fraction (0.1)",306.13168333333334
3_AFP,"absolute time (0:01:00)","1→1 5→2 10→4 \_→8","fixed fraction (0.3)",146.89038333333335
3_AFP,"absolute time (0:01:00)","1→1 5→2 10→4 \_→8","fixed fraction (0.5)",130.30536666666666
3_AFP,"absolute time (0:01:00)","1→1 5→2 10→4 \_→8","host speed (0.5)",160.46045
3_AFP,"absolute time (0:01:00)","1→1 5→2 10→4 \_→8","host speed (0.7)",160.46045
3_AFP,"absolute time (0:01:00)","1→1 5→2 10→4 \_→8","host speed (0.9)",160.46045
3_AFP,"absolute time (0:01:00)","2→1 \_→8","per critical node",103.72761666666666
3_AFP,"absolute time (0:01:00)","2→1 \_→8","fixed fraction (0.1)",306.13168333333334
3_AFP,"absolute time (0:01:00)","2→1 \_→8","fixed fraction (0.3)",146.89038333333335
3_AFP,"absolute time (0:01:00)","2→1 \_→8","fixed fraction (0.5)",130.30536666666666
3_AFP,"absolute time (0:01:00)","2→1 \_→8","host speed (0.5)",160.46045
3_AFP,"absolute time (0:01:00)","2→1 \_→8","host speed (0.7)",160.46045
3_AFP,"absolute time (0:01:00)","2→1 \_→8","host speed (0.9)",160.46045
3_AFP,"absolute time (0:01:00)","2→1 10→4 \_→8","per critical node",103.72761666666666
3_AFP,"absolute time (0:01:00)","2→1 10→4 \_→8","fixed fraction (0.1)",306.13168333333334
3_AFP,"absolute time (0:01:00)","2→1 10→4 \_→8","fixed fraction (0.3)",146.89038333333335
3_AFP,"absolute time (0:01:00)","2→1 10→4 \_→8","fixed fraction (0.5)",130.30536666666666
3_AFP,"absolute time (0:01:00)","2→1 10→4 \_→8","host speed (0.5)",160.46045
3_AFP,"absolute time (0:01:00)","2→1 10→4 \_→8","host speed (0.7)",160.46045
3_AFP,"absolute time (0:01:00)","2→1 10→4 \_→8","host speed (0.9)",160.46045
3_AFP,"absolute time (0:01:00)","2→1 10→2 20→4 \_→8","per critical node",103.72761666666666
