session,is_in,based_on,time,error
"HOL-Matrix LP",Distribution,Other,171.395,0.010722816218444944
KAD,AFP,Other,220.292,0.0030731002011677917
"Lifting Definition Option",AFP,Other,157.561,0.07047479812525831
"Hypergraph Basics",AFP,Other,313.93,0.02672717232593519
"Random BSTs",AFP,Other,556.429,0.1386592278067435
IMAP-CRDT,AFP,Other,182.067,0.023440350083887552
Pell,AFP,Other,303.374,0.0953337538626969
"Markov Models",AFP,Other,629.76,0.014218341475125401
"Taylor Models",AFP,Other,703.515,0.1905423800043979
"Sauer Shelah Lemma",AFP,Other,157.6,0.06757716111665162
"Quasi Borel Spaces",AFP,Other,567.35,0.16745195334170726
"Liouville Numbers",AFP,Other,290.643,0.060178469892545786
"Directed Sets",AFP,Other,195.833,0.034417327704690304
"Fermat3 4",AFP,Other,341.493,0.07645595616799498
"Stern Brocot",AFP,Other,586.586,0.2291754732053464
"Lambda Free KBOs",AFP,Other,269.907,0.13818319063136195
Simplex,AFP,Other,336.546,0.011340937588589409
"Pi Calculus",AFP,Other,223.924,0.0034322763344462326
Integration,AFP,Other,267.035,0.003856066018913905
Sugar,Distribution,Other,156.784,0.09566330633797361
Free-Boolean-Algebra,AFP,Other,157.155,0.10012698791316091
Routing,AFP,Other,330.908,0.010112888770737622
BirdKMP,AFP,Other,266.422,0.05051547900041039
"Gromov Hyperbolicity",AFP,Other,632.07,0.013001311797221162
"Auto2 HOL",AFP,Other,176.455,0.008867817403859949
"Weight Balanced Trees",AFP,Other,171.538,0.1395810789044462
"Nano JSON",AFP,Other,158.701,0.09666606541286046
Efficient-Mergesort,AFP,Other,179.921,0.17607000270550327
"Finitely Generated Abelian Groups",AFP,Other,390.94,0.05623446699738068
Category2,AFP,Other,279.043,0.08896405628915172
Regular-Sets,AFP,Other,299.314,0.07007276370064319
"Multi Party Computation",AFP,Other,808.844,0.023494818980356068
"Dict Construction",AFP,Other,181.457,0.11422068251555775
"Separation Logic Imperative HOL",AFP,Other,337.854,0.012259994840438031
"Probabilistic While",AFP,Other,566.083,0.1290575224867369
"Polygonal Number Theorem",AFP,Other,732.421,0.021731097064302717
"Impossible Geometry",AFP,Other,163.312,0.048893782642587424
Lazy-Lists-II,AFP,Other,336.43,0.05939522263283888
"Gauss Jordan",AFP,Other,542.88,0.021789117670988515
"Lucas Theorem",AFP,Other,291.209,0.05947555440286004
"Aristotles Assertoric Syllogistic",AFP,Other,156.347,0.06291586612175216
Multirelations,AFP,Other,275.02,0.023808453520344715
"Kneser Cauchy Davenport",AFP,Other,413.563,0.15538659946817415
"Poincare Disc",AFP,Other,235.607,0.00541034217376963
GenClock,AFP,Other,159.457,0.05885009606517379
"Chord Segments",AFP,Other,475.982,0.10810651715746326
Topology,AFP,Other,341.126,0.05635072303600668
Subresultants,AFP,Other,611.229,0.5340914612750837
"FOL Axiomatic",AFP,Other,163.475,0.01658741427945053
Flyspeck-Tame,AFP,Other,301.389,0.13843702771188685
CofGroups,AFP,Other,157.813,0.08768332418009009
Lam-ml-Normalization,AFP,Other,171.584,0.05526137674287259
WorkerWrapper,AFP,Other,176.552,0.06336755062765158
ComponentDependencies,AFP,Other,207.549,0.029088804314223355
"Attack Trees",AFP,Other,164.229,0.08186360933503727
"Abs Int ITP2012",AFP,Other,312.897,0.006008089297366511
"Combinatorics Words",AFP,Other,207.619,0.011115549519141354
"Tree Decomposition",AFP,Other,161.704,0.12073436547990968
"Factored Transition System Bounding",AFP,Other,210.814,0.0029905905602268267
"First Welfare Theorem",AFP,Other,482.494,0.13222117061282998
List-Index,AFP,Other,158.705,0.06284406131050342
"LP Duality",AFP,Other,747.945,0.010461161538977162
ZF-Induct,Distribution,Other,27.609,0.02988322393088822
"Tarskis Geometry",AFP,Other,506.371,0.005082875169752868
"Probabilistic System Zoo",AFP,Other,567.468,0.1409310164671571
AnselmGod,AFP,Other,158.261,0.4350868865603072
"Simple Firewall",AFP,Other,333.642,0.019602202904435227
"Jacobson Basic Algebra",AFP,Other,186.493,0.0019935127153166412
"Delta System Lemma",AFP,Other,41.191,0.010623660056333252
Relational-Incorrectness-Logic,AFP,Other,366.093,0.02653302251867253
