session,expected_start,actual_start,expected_duration,actual_duration
ABY3_Protocols,1610.463,1635.659,16.815,8.675
ADS_Functor,1450.914,1462.513,12.484,12.452
AI_Planning_Languages_Semantics,1048.385,1116.107,175.905,177.341
AOT,813.111,434.153,59.406,66.264
AVL-Trees,1626.555,1634.016,15.376,19.707
AWN,1700.297,1948.816,75.416,23.2
Abortable_Linearizable_Modules,1270.943,1493.773,31.371,22.94
Abs_Int_ITP2012,939.16,968.765,60.986,70.822
Abstract-Hoare-Logics,1715.449,1953.352,7.424,5.256
Abstract-Rewriting,219.762,237.287,24.89,30.194
Abstract_Completeness,1263.81,1382.72,20.988,10.914
Abstract_Soundness,1642.599,1791.833,9.675,8.732
Ackermanns_not_PR,1767.48,1839.947,1.447,1.443
Actuarial_Mathematics,1199.123,1188.611,36.057,42.163
Adaptive_State_Counting,1023.814,1075.962,40.836,39.992
Affine_Arithmetic,516.166,388.237,313.019,288.013
Aggregation_Algebras,961.246,862.012,136.881,97.545
Akra_Bazzi,516.166,388.258,81.002,81.067
Algebraic_Numbers,776.238,811.524,119.064,116.197
Algebraic_VCs,187.44,206.23,80.086,73.843
Allen_Calculus,947.929,723.199,50.778,38.577
Amicable_Numbers,713.058,724.394,77.216,83.265
Amortized_Complexity,671.054,593.02,71.152,75.818
AnselmGod,1766.663,1837.683,1.386,1.325
Applicative_Lifting,621.044,571.711,50.227,46.59
Approximate_Model_Counting,1881.372,2000.641,15.274,14.181
Approximation_Algorithms,1533.817,1547.936,12.608,11.777
Architectural_Design_Patterns,1734.82,1884.805,29.082,22.592
Aristotles_Assertoric_Syllogistic,1771.127,2017.353,0.959,1.14
Arith_Prog_Rel_Primes,1700.017,1817.239,8.776,9.954
ArrowImpossibilityGS,1740.091,1804.874,2.627,2.432
Attack_Trees,1708.793,1827.853,6.322,8.755
Auto2_HOL,1579.64,1750.431,25.087,20.633
Auto2_Imperative_HOL,1639.243,1797.643,148.413,120.039
AutoCorres2,813.111,434.606,710.491,512.877
AutoCorres2_Main,181.91,196.16,288.769,297.281
AutoCorres2_Test,847.144,958.564,640.437,735.517
AutoFocus-Stream,1268.927,1374.712,35.294,38.704
Automated_Stateful_Protocol_Verification,690.009,690.433,347.479,271.72
Automatic_Refinement,111.36,125.993,20.716,17.449
AxiomaticCategoryTheory,1536.765,1602.96,17.783,20.822
BDD,929.167,1011.344,35.785,33.278
BD_Security_Compositional,636.829,587.978,74.917,66.588
BNF_CC,1609.342,1649.039,9.596,13.835
BNF_Operations,1551.637,1682.624,18.459,11.078
BTree,1494.072,1540.709,123.464,134.8
Balog_Szemeredi_Gowers,425.344,452.551,85.444,90.073
Banach_Steinhaus,1728.788,1897.627,7.991,5.133
Belief_Revision,1712.4,1850.57,7.343,5.253
Bell_Numbers_Spivey,1494.897,1518.946,13.972,11.301
BenOr_Kozen_Reif,906.175,932.355,65.884,72.517
Berlekamp_Zassenhaus,573.867,571.726,202.327,212.501
Bernoulli,742.206,692.622,114.02,165.591
Bertrands_Postulate,1196.104,1291.478,32.608,34.556
BinarySearchTree,1766.169,1919.899,2.175,2.731
Binary_Code_Imprimitive,1743.242,1892.098,3.913,4.614
Binding_Syntax_Theory,601.188,595.287,63.932,67.021
Binomial-Heaps,1487.581,1698.8,13.77,11.576
Binomial-Queues,1728.736,1897.642,6.226,5.884
BirdKMP,793.811,893.77,49.157,61.124
Birkhoff_Finite_Distributive_Lattices,1644.442,1671.394,13.55,14.1
Blue_Eyes,1786.872,1994.774,2.071,1.384
Bondy,1769.958,2015.269,1.169,1.118
Boolean_Expression_Checkers,1588.417,1623.893,11.347,10.994
Boolos_Curious_Inference,1770.654,2017.368,0.908,1.109
Boolos_Curious_Inference_Automated,1681.3,1829.751,7.274,6.006
Bounded_Deducibility_Security,616.21,575.872,20.619,11.393
Broadcast_Psi,1197.175,1455.24,253.895,238.648
Buchi_Complementation,1026.73,1103.86,33.621,26.623
Budan_Fourier,1761.539,1828.929,7.739,7.149
Buffons_Needle,1737.298,1801.838,2.793,2.829
Buildings,1059.75,1077.87,28.711,23.982
BytecodeLogicJmlTypes,1004.439,1069.891,47.505,43.732
C2KA_DistributedSystems,1759.13,1912.305,2.926,3.5
CAVA_Automata,315.276,350.06,53.647,58.877
CAVA_Base,303.921,331.959,11.355,17.46
CAVA_LTL_Modelchecker,1193.58,1188.628,110.389,259.073
CAVA_Setup,607.584,476.396,585.996,376.18
CCL,8.245,11.129,4.732,4.668
CCS,1763.908,1918.789,5.986,5.812
CHERI-C_Memory_Model,1610.571,1731.14,176.844,183.639
CISC-Kernel,1628.657,1676.212,13.289,12.686
CRDT,1355.138,1246.183,24.298,29.431
CRYSTALS-Kyber,953.212,1040.245,32.777,30.135
CRYSTALS-Kyber_Security,1641.946,1689.286,112.725,103.451
CSP_RefTK,1497.606,1567.359,22.025,19.524
CTT,8.245,11.721,1.18,1.114
CVP_Hardness,776.194,787.356,105.554,107.575
CYK,1747.361,1814.295,2.158,2.114
CZH_Elementary_Categories,190.376,202.744,227.431,230.21
CZH_Foundations,129.211,144.589,61.165,56.834
CZH_Universal_Constructions,427.085,451.9,1056.132,954.057
CakeML,842.83,835.948,310.742,273.178
CakeML_Codegen,1155.018,1188.642,356.225,317.291
Call_Arity,1090.405,964.297,34.183,42.719
Card_Equiv_Relations,1766.641,1840.031,1.359,1.449
Card_Multisets,1604.727,1772.09,20.368,9.604
Card_Number_Partitions,1754.671,1813.942,2.443,2.175
Card_Partitions,1732.302,1874.529,6.217,8.434
Cardinality_Continuum,1546.425,1560.472,8.64,13.09
Cartan_FP,1756.248,1909.28,2.882,2.471
Case_Labeling,1710.608,1850.585,4.12,5.386
Catalan_Numbers,1663.591,1893.608,10.481,6.115
Category,1738.846,1807.271,3.79,2.306
Category2,1615.334,1720.51,10.76,10.694
Category3,892.102,893.207,344.234,574.561
Catoids,1541.121,1669.307,13.862,12.041
Cauchy,638.048,587.992,8.133,4.747
Cayley_Hamilton,1565.835,1738.982,13.805,11.026
Certification_Monads,1736.779,1903.712,6.832,3.509
Ceva,1721.328,1854.702,5.403,9.61
Chandy_Lamport,845.099,916.524,43.893,45.908
