session,expected_start,actual_start,expected_duration,actual_duration
ABY3_Protocols,503.499,677.702,9.825,13.255
ADS_Functor,513.324,691.756,14.377,25.356
AI_Planning_Languages_Semantics,475.496,649.836,175.905,276.105
AOT,1185.976,1826.556,59.406,73.951
AVL-Trees,400.193,458.553,13.794,15.741
AWN,341.35,473.632,51.291,37.016
Abortable_Linearizable_Modules,150.507,190.025,17.625,19.161
Abs_Int_ITP2012,1268.232,1682.283,49.965,32.342
Abstract-Hoare-Logics,495.262,639.295,7.493,7.637
Abstract-Rewriting,171.303,217.978,32.235,21.715
Abstract_Completeness,222.376,270.5,15.261,13.052
Abstract_Soundness,409.09,581.361,13.832,13.65
Ackermanns_not_PR,159.457,211.839,1.886,1.626
Actuarial_Mathematics,644.346,815.139,19.871,20.483
Adaptive_State_Counting,824.704,1237.83,40.836,54.227
Affine_Arithmetic,659.329,855.901,212.753,219.213
Aggregation_Algebras,642.642,849.303,136.881,98.797
Akra_Bazzi,316.093,445.979,81.002,66.644
Algebraic_Numbers,710.243,966.158,73.906,72.482
Algebraic_VCs,1013.494,1474.236,58.947,143.318
Allen_Calculus,229.754,279.018,48.921,55.427
Amicable_Numbers,1262.984,1639.861,50.139,49.384
Amortized_Complexity,237.637,284.09,49.911,48.657
AnselmGod,156.396,205.635,1.767,1.497
Applicative_Lifting,315.86,418.527,37.545,23.533
Approximate_Model_Counting,1259.836,1649.034,15.274,38.543
Approximation_Algorithms,179.406,204.926,19.328,20.824
Architectural_Design_Patterns,352.321,434.586,13.961,23.207
Aristotles_Assertoric_Syllogistic,135.658,149.977,1.148,1.111
Arith_Prog_Rel_Primes,310.298,390.987,7.983,4.729
ArrowImpossibilityGS,164.463,209.324,2.761,2.799
Attack_Trees,279.169,341.031,5.267,6.882
Auto2_HOL,136.354,166.327,15.318,24.623
Auto2_Imperative_HOL,1264.262,2014.432,49.735,81.167
AutoCorres2,584.387,651.367,298.989,361.461
AutoCorres2_Main,287.548,334.688,312.429,267.889
AutoCorres2_Test,1074.685,1725.307,170.997,287.926
AutoFocus-Stream,1036.91,1339.573,30.009,35.611
Automated_Stateful_Protocol_Verification,599.977,763.579,377.622,380.053
Automatic_Refinement,108.705,133.834,26.409,23.88
AxiomaticCategoryTheory,820.397,1237.846,17.783,18.667
BDD,1226.742,1865.72,45.02,72.471
BD_Security_Compositional,122.433,149.698,49.719,51.719
BNF_CC,138.401,165.632,12.14,9.326
BNF_Operations,155.451,205.648,15.794,7.976
BTree,624.305,992.069,165.582,152.255
Balog_Szemeredi_Gowers,888.448,1330.02,125.046,139.996
Banach_Steinhaus,306.874,439.149,4.618,5.2
Belief_Revision,498.483,670.625,5.016,6.839
Bell_Numbers_Spivey,171.303,216.657,11.767,11.122
BenOr_Kozen_Reif,1276.739,1701.684,43.487,44.012
Berlekamp_Zassenhaus,527.007,701.036,86.126,130.808
Bernoulli,329.317,450.897,30.002,60.671
Bertrands_Postulate,353.238,449.275,16.742,17.819
BinarySearchTree,165.905,210.36,1.724,2.009
Binary_Code_Imprimitive,148.963,186.427,2.177,2.282
Binding_Syntax_Theory,1275.702,1536.792,38.961,40.126
Binomial-Heaps,862.386,1281.025,19.675,21.603
Binomial-Queues,142.197,167.926,3.974,4.118
BirdKMP,1184.18,1441.28,41.427,44.748
Birkhoff_Finite_Distributive_Lattices,1162.483,1816.797,8.732,12.165
Blue_Eyes,156.657,191.257,1.406,2.268
Bondy,162.44,203.74,1.009,1.216
Boolean_Expression_Checkers,651.401,992.085,14.897,18.267
Boolos_Curious_Inference,138.677,162.683,1.017,0.925
Boolos_Curious_Inference_Automated,258.557,286.25,8.582,12.733
Bounded_Deducibility_Security,114.342,134.985,8.091,9.13
Broadcast_Psi,933.609,1255.767,149.491,229.583
Buchi_Complementation,1239.294,1558.404,24.929,28.122
Budan_Fourier,520.495,788.77,7.421,17.325
Buffons_Needle,361.915,512.888,4.195,4.458
Buildings,845.621,1145.994,23.724,36.053
BytecodeLogicJmlTypes,980.345,1258.83,44.137,58.111
C2KA_DistributedSystems,108.705,128.894,2.479,4.63
CAVA_Automata,388.791,563.357,30.394,49.971
CAVA_Base,315.86,429.675,20.669,12.035
CAVA_LTL_Modelchecker,899.771,1118.414,220.702,273.356
CAVA_Setup,472.056,654.805,349.778,410.042
CCL,8.245,8.989,4.455,3.952
CCS,328.696,458.147,7.517,9.064
CHERI-C_Memory_Model,419.185,614.821,57.31,128.982
CISC-Kernel,110.026,135.983,8.257,13.029
CRDT,108.705,128.911,19.272,18.032
CRYSTALS-Kyber,616.917,900.855,50.421,42.57
CRYSTALS-Kyber_Security,1161.564,1804.404,112.603,166.305
CSP_RefTK,842.679,1313.466,20.674,16.208
CTT,8.245,10.944,0.875,0.732
CVP_Hardness,1082.051,1657.934,79.513,102.171
CYK,287.499,378.785,3.165,3.783
CZH_Elementary_Categories,480.733,752.71,229.555,381.225
CZH_Foundations,439.396,615.041,41.337,41.966
CZH_Universal_Constructions,728.063,1140.542,549.9,786.116
CakeML,315.86,342.243,270.593,177.316
CakeML_Codegen,661.595,935.516,184.026,209.465
Call_Arity,1281.824,1974.624,34.183,35.907
Card_Equiv_Relations,249.763,334.769,1.852,2.268
Card_Multisets,163.449,205.761,7.292,6.439
Card_Number_Partitions,171.303,229.854,2.818,2.235
Card_Partitions,136.3,179.98,4.322,5.422
Cardinality_Continuum,336.529,444.12,16.293,13.631
Cartan_FP,522.933,795.953,2.844,5.25
Case_Labeling,160.384,214.554,7.583,5.309
Catalan_Numbers,297.962,423.043,10.39,11.779
Category,168.132,209.607,2.48,2.289
Category2,277.245,319.212,6.684,8.034
Category3,797.294,1111.877,183.051,145.284
Catoids,1096.485,1453.032,23.188,20.2
Cauchy,108.705,122.888,4.683,6.034
Cayley_Hamilton,1275.11,1688.326,18.734,9.832
Certification_Monads,234.689,284.06,2.349,3.113
Ceva,289.453,381.049,5.403,4.824
Chandy_Lamport,858.468,1313.478,62.45,70.271
Chebyshev_Polynomials,980.345,1258.85,45.593,45.701
Chord_Segments,338.087,468.037,3.263,4.962
Circus,297.962,423.058,36.239,30.482
Classes,159.986,211.851,1.731,1.648
Clean,1245.682,2014.15,43.75,59.659
Clique_and_Monotone_Circuits,1066.919,1417.328,25.857,33.944
ClockSynchInst,108.705,128.944,1.896,5.377
Closest_Pair_Points,1066.301,1417.707,30.184,34.017
CoCon,841.669,1093.217,222.248,250.508
CoSMeDis,328.446,455.408,443.351,497.089
CoSMed,1088.614,1226.697,106.493,127.952
Codegen,1264.223,1639.875,47.025,43.114
CofGroups,162.498,202.162,1.371,1.33
Coinductive,261.577,310.591,39.017,43.039
Coinductive_Languages,491.778,664.087,6.705,6.017
Collections,158.545,208.853,139.417,210.726
Collections_Examples,1083.1,1487.135,80.042,59.788
Combinable_Wands,179.406,204.978,9.306,11.032
Combinatorial_Enumeration_Algorithms,278.256,364.193,11.197,10.255
Combinatorics_Words,114.37,134.994,24.031,22.168
Combinatorics_Words_Graph_Lemma,249.073,308.961,1.406,1.721
Combinatorics_Words_Lyndon,155.122,180.248,3.167,2.847
CommCSL,1246.838,1998.814,66.324,70.124
Commuting_Hermitian,807.928,1123.801,26.014,26.122
Comparison_Sort_Lower_Bound,409.09,581.756,7.085,7.879
Compiling-Exceptions-Correctly,421.159,500.113,2.873,4.916
Complete_Non_Orders,127.977,165.446,25.753,13.24
Completeness,625.301,801.571,15.165,10.251
Complex_Bounded_Operators,619.785,857.626,90.458,107.204
Complex_Bounded_Operators_Dependencies,452.33,598.505,162.838,189.048
Complex_Geometry,108.705,128.964,45.883,38.362
Complx,1036.154,1383.123,85.524,80.263
ComponentDependencies,677.382,859.504,28.929,35.106
Concentration_Inequalities,1248.137,1757.065,13.162,12.055
ConcurrentHOL,564.749,743.391,102.501,114.862
ConcurrentIMP,1292.256,2099.571,15.353,8.229
Concurrent_Ref_Alg,158.921,211.866,4.073,3.604
Concurrent_Revisions,1194.319,1575.109,25.736,36.86
CondNormReasHOL,706.311,935.624,10.951,7.546
Conditional_Simplification,162.994,218.413,1.4,1.307
Conditional_Transfer_Rule,136.12,179.991,9.806,9.72
Consensus_Refined,151.14,190.464,11.3,12.212
Constructive_Cryptography,674.742,1008.024,114.413,124.199
Constructive_Cryptography_CM,789.155,1136.675,208.933,280.263
Constructor_Funs,172.292,206.908,7.632,8.343
Containers,261.577,310.608,84.313,71.138
Containers-Benchmarks,1184.168,1931.698,60.06,63.115
Continued_Fractions,974.007,1399.649,140.034,182.226
Cook_Levin,480.733,658.186,534.009,515.175
CoreC++,188.665,209.36,97.408,149.911
Core_DOM,719.314,896.564,122.355,111.722
Core_SC_DOM,172.486,208.157,98.013,105.137
Corec,683.945,1008.983,36.407,67.762
Correctness_Algebras,857.735,1281.06,414.35,426.059
Cotangent_PFD_Formula,414.409,585.885,2.611,4.227
Count_Complex_Roots,784.603,1103.445,29.805,58.969
Coupledsim_Contrasim,1293.844,1927.602,25.582,20.795
CryptHOL,440.035,586.558,61.674,73.508
CryptoBasedCompositionalProperties,149.118,172.305,4.706,4.583
Crypto_Standards,833.665,1313.489,241.02,408.643
Cube,8.245,10.651,0.615,0.753
Cubic_Quartic_Equations,802.672,1213.576,17.725,22.334
CubicalCategories,1151.43,1793.413,31.507,28.308
DCR-ExecutionEquivalence,321.877,352.223,2.187,3.049
DFS_Framework,784.149,1040.119,98.202,114.474
DOM_Components,1000.339,1510.33,87.725,65.975
DPRM_Theorem,330.727,468.965,86.923,94.172
DPT-SAT-Solver,135.452,158.563,1.942,2.243
DataRefinementIBP,184.183,200.777,3.17,3.849
Datatype_Order_Generator,171.303,183.969,242.867,190.847
Datatypes,333.935,440.047,44.646,34.904
Decl_Sem_Fun_PL,667.25,859.521,20.618,26.457
Decreasing-Diagrams,710.288,1136.704,45.075,7.979
Decreasing-Diagrams-II,210.883,264.035,8.58,8.848
Dedekind_Real,194.339,239.054,4.152,4.799
Deep_Learning,378.783,502.969,73.547,94.122
Delta_System_Lemma,24.888,23.695,3.47,2.691
Demo_EPTCS,158.063,193.79,0.953,1.221
Demo_Easychair,135.658,149.99,1.067,0.847
Demo_FoilTeX,135.174,178.401,0.946,0.887
Demo_LIPIcs,143.398,180.485,0.875,0.88
Demo_LLNCS,268.963,375.072,0.88,0.862
Density_Compiler,1148.409,1541.628,76.057,82.559
Dependent_SIFUM_Refinement,999.847,1456.041,79.612,136.012
Dependent_SIFUM_Type_Systems,276.935,367.047,101.503,80.055
Depth-First-Search,134.749,162.252,1.344,1.28
Derandomization_Conditional_Expectations,1205.728,1934.44,43.17,38.221
Derangements,1283.581,1927.614,25.847,16.203
Deriving,177.961,222.044,22.169,28.696
Descartes_Sign_Rule,420.218,614.843,2.486,3.103
Design_Theory,238.025,334.811,40.616,35.92
Dict_Construction,1107.337,1756.032,36.562,33.337
Differential_Dynamic_Logic,873.633,1211.984,150.164,244.913
Differential_Game_Logic,418.973,564.758,26.578,26.165
Digit_Expansions,197.049,216.801,6.087,7.554
DigitsInBase,278.675,371.749,2.75,2.965
Dijkstra_Shortest_Path,1290.544,1543.865,30.187,36.795
Diophantine_Eqns_Lin_Hom,161.343,214.566,7.887,5.861
Directed_Sets,409.09,581.773,30.306,31.962
Dirichlet_L,593.046,761.33,51.3,52.759
Dirichlet_Series,329.317,447.241,140.819,182.528
DiscretePricing,456.416,642.255,42.88,58.802
Discrete_Summation,137.394,161.142,2.405,1.968
Disintegration,662.347,841.0,55.082,63.162
DiskPaxos,383.409,516.793,11.066,11.82
Distributed_Distinct_Elements,1063.917,1346.522,105.154,154.481
Dominance_CHK,190.009,232.085,14.084,12.87
Doob_Convergence,456.417,614.236,5.325,5.385
DynamicArchitectures,303.063,399.404,9.821,13.032
Dynamic_Tables,288.417,361.507,3.657,5.577
E_Transcendental,329.317,446.857,74.426,54.057
Earley_Parser,213.979,264.333,23.063,24.872
Echelon_Form,317.313,384.572,73.829,88.107
EdmondsKarp_Maxflow,1248.898,1999.143,64.584,70.832
Edwards_Elliptic_Curves_Group,1257.51,1645.13,48.54,66.738
Efficient-Mergesort,279.821,367.081,21.279,29.322
Efficient_Weighted_Path_Order,779.523,964.317,13.069,13.28
Eisbach,150.949,197.783,1.712,2.311
Elimination_Of_Repeated_Factors,845.82,1257.208,16.566,18.592
Elliptic_Curves_Group_Law,882.061,1303.445,42.92,56.076
Encodability_Process_Calculi,1244.2,1629.354,55.06,56.74
Epistemic_Logic,198.709,243.793,8.412,8.282
Equivalence_Relation_Enumeration,185.862,232.135,5.642,4.863
Ergodic_Theory,315.86,342.256,84.333,46.399
