"package","version"
"abind","1.4-5"
"aplot","0.1.10"
"askpass","1.1"
"backports","1.4.1"
"base64enc","0.1-3"
"bit","4.0.5"
"bit64","4.0.5"
"brew","1.0-8"
"brio","1.1.3"
"broom","1.0.4"
"bslib","0.4.2"
"cachem","1.0.7"
"callr","3.7.3"
"car","3.1-2"
"carData","3.0-5"
"caret","6.0-94"
"classInt","0.4-10"
"cli","3.6.1"
"clipr","0.8.0"
"clock","0.7.0"
"colorspace","2.1-0"
"colourpicker","1.3.0"
"commonmark","1.9.0"
"corrplot","0.92"
"cowplot","1.1.1"
"cpp11","0.4.3"
"crayon","1.5.2"
"credentials","1.3.2"
"crosstalk","1.2.1"
"curl","5.0.0"
"data.table","1.14.8"
"DBI","1.2.2"
"desc","1.4.2"
"diagram","1.6.5"
"diffobj","0.3.5"
"digest","0.6.31"
"downlit","0.4.2"
"dplyr","1.1.1"
"e1071","1.7-13"
"ellipsis","0.3.2"
"extrafont","0.19"
"extrafontdb","1.0"
"fansi","1.0.4"
"farver","2.1.1"
"fastmap","1.1.1"
"filehash","2.4-5"
"fontawesome","0.5.1"
"foreach","1.5.2"
"fs","1.6.1"
"future","1.33.0"
"future.apply","1.11.0"
"generics","0.1.3"
"gert","1.9.2"
"ggbreak","0.1.1"
"ggExtra","0.10.1"
"ggfun","0.0.9"
"ggplot2","3.5.1"
"ggplotify","0.1.0"
"ggpubr","0.6.0"
"ggrepel","0.9.3"
"ggsci","3.0.0"
"ggside","0.3.1"
"ggsignif","0.6.4"
"gh","1.4.0"
"gitcreds","0.1.2"
"globals","0.16.2"
"gower","1.0.1"
"gridExtra","2.3"
"gridGraphics","0.5-1"
"gtable","0.3.3"
"hardhat","1.3.0"
"hms","1.1.3"
"htmltools","0.5.5"
"htmlwidgets","1.6.2"
"httpuv","1.6.9"
"httr","1.4.5"
"httr2","0.2.2"
"ini","0.3.1"
"ipred","0.9-14"
"isoband","0.2.7"
"iterators","1.0.14"
"jquerylib","0.1.4"
"jsonlite","1.8.4"
"labeling","0.4.2"
"later","1.3.0"
"lava","1.7.3"
"lazyeval","0.2.2"
"lifecycle","1.0.3"
"listenv","0.9.0"
"lme4","1.1-32"
"lubridate","1.9.3"
"MatrixModels","0.5-1"
"memoise","2.0.1"
"mime","0.12"
"miniUI","0.1.1.1"
"minqa","1.2.5"
"ModelMetrics","1.2.2.2"
"munsell","0.5.0"
"nloptr","2.0.3"
"numDeriv","2016.8-1.1"
"openssl","2.0.6"
"parallelly","1.36.0"
"patchSynctex","0.1-4"
"patchwork","1.1.2"
"pbkrtest","0.5.2"
"pillar","1.9.0"
"pkgbuild","1.4.0"
"pkgconfig","2.0.3"
"pkgload","1.3.2"
"plotly","4.10.4"
"plyr","1.8.8"
"png","0.1-8"
"polynom","1.4-1"
"ppcor","1.1"
"praise","1.0.0"
"prettyunits","1.1.1"
"pROC","1.18.5"
"processx","3.8.0"
"prodlim","2023.08.28"
"profvis","0.3.7"
"progress","1.2.2"
"progressr","0.14.0"
"promises","1.2.0.1"
"proxy","0.4-27"
"ps","1.7.4"
"purrr","1.0.1"
"quantreg","5.94"
"R6","2.5.1"
"rappdirs","0.3.3"
"rcmdcheck","1.4.0"
"RColorBrewer","1.1-3"
"Rcpp","1.0.10"
"RcppEigen","0.3.3.9.3"
"readr","2.1.4"
"recipes","1.0.8"
"rematch2","2.1.2"
"remotes","2.4.2"
"reshape2","1.4.4"
"rlang","1.1.0"
"rmarkdown","2.21"
"roxygen2","7.2.3"
"rprojroot","2.0.3"
"rstatix","0.7.2"
"rstudioapi","0.14"
"Rttf2pt1","1.3.12"
"rversions","2.1.2"
"s2","1.1.6"
"sass","0.4.5"
"scales","1.3.0"
"sessioninfo","1.2.2"
"shape","1.4.6"
"shiny","1.7.4"
"shinyjs","2.1.0"
"sourcetools","0.1.7-1"
"SparseM","1.81"
"SQUAREM","2021.1"
"stringr","1.5.0"
"sys","3.4.1"
"systemfonts","1.0.4"
"testthat","3.1.7"
"tibble","3.2.1"
"tidyr","1.3.0"
"tidyselect","1.2.0"
"tikzDevice","0.12.4"
"timechange","0.2.0"
"timeDate","4022.108"
"tinytex","0.44"
"tzdb","0.4.0"
"urlchecker","1.0.1"
"usethis","2.1.6"
"utf8","1.2.3"
"vctrs","0.6.1"
"viridisLite","0.4.1"
"vroom","1.6.4"
"waldo","0.4.0"
"whisker","0.4.1"
"withr","2.5.0"
"wk","0.9.1"
"xfun","0.38"
"xml2","1.3.3"
"xopen","1.0.0"
"xtable","1.8-4"
"yulab.utils","0.0.6"
"zip","2.3.0"
"base","4.2.3"
"boot","1.3-28.1"
"class","7.3-21"
"cluster","2.1.4"
"codetools","0.2-19"
"compiler","4.2.3"
"datasets","4.2.3"
"foreign","0.8-84"
"glue","1.6.2"
"graphics","4.2.3"
"grDevices","4.2.3"
"grid","4.2.3"
"KernSmooth","2.23-20"
"lattice","0.20-45"
"magrittr","2.0.3"
"MASS","7.3-58.2"
"Matrix","1.5-3"
"methods","4.2.3"
"mgcv","1.8-42"
"nlme","3.1-162"
"nnet","7.3-18"
"parallel","4.2.3"
"rpart","4.1.19"
"spatial","7.3-16"
"splines","4.2.3"
"stats","4.2.3"
"stats4","4.2.3"
"stringi","1.7.8"
"survival","3.5-3"
"tcltk","4.2.3"
"tools","4.2.3"
"utils","4.2.3"
"xfun","0.32"
"yaml","2.3.5"
"evaluate","0.15"
"highr","0.9"
"knitr","1.39"
"stringr","1.4.1"
