cpu,threads,time,cputime
Intel(R) Core(TM) i7-10875H CPU @ 2.30GHz,4,522,1823
Intel(R) Core(TM) i7-10875H CPU @ 2.30GHz,4,434,1524
Intel(R) Core(TM) i7-10875H CPU @ 2.30GHz,4,449,1569
Intel(R) Core(TM) i7-10875H CPU @ 2.30GHz,8,362,2415
Intel(R) Core(TM) i7-10875H CPU @ 2.30GHz,8,357,2375
Intel(R) Core(TM) i7-10875H CPU @ 2.30GHz,8,409,2772
Intel(R) Core(TM) i7-10875H CPU @ 2.30GHz,16,349,3706
Intel(R) Core(TM) i7-10875H CPU @ 2.30GHz,16,405,4200
Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz,4,521,1805
Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz,4,445,1549
Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz,4,443,1550
Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz,8,461,2718
Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz,8,364,2167
2x AMD EPYC 7742 64-Core Processor,4,444,1528
2x AMD EPYC 7742 64-Core Processor,4,391,1353
2x AMD EPYC 7742 64-Core Processor,8,233,1578
2x AMD EPYC 7742 64-Core Processor,8,219,1495
2x AMD EPYC 7742 64-Core Processor,8,242,1599
2x AMD EPYC 7742 64-Core Processor,8,244,1638
2x AMD EPYC 7742 64-Core Processor,16,211,2573
2x AMD EPYC 7742 64-Core Processor,16,205,2742
2x AMD EPYC 7742 64-Core Processor,16,199,2459
2x AMD EPYC 7742 64-Core Processor,16,229,2857
2x AMD EPYC 7742 64-Core Processor,16,218,2818
Intel(R) Xeon(R) Platinum 8360Y CPU @ 2.40GHz,4,581,2039
2x AMD EPYC 7742 64-Core Processor,32,634,9954
Intel(R) Xeon(R) Platinum 8360Y CPU @ 2.40GHz,4,575,2006
Intel(R) Core(TM) i5-6600K CPU @ 4.50GHz,4,395,1215
Intel(R) Core(TM) i5-6600K CPU @ 4.50GHz,4,342,1043
Intel(R) Core(TM) i5-6600K CPU @ 4.50GHz,4,328,997
2x AMD EPYC 7742 64-Core Processor,32,609,7329
2x AMD EPYC 7742 64-Core Processor,32,589,6854
Intel(R) Xeon(R) Platinum 8360Y CPU @ 2.40GHz,4,538,1906
Intel(R) Xeon(R) Platinum 8360Y CPU @ 2.40GHz,8,359,2379
AMD EPYC 7601 32-Core Processor,4,650,2212
Intel(R) Xeon(R) CPU E5-2699 v4 @ 2.20GHz,4,576,1997
Intel(R) Xeon(R) Platinum 8360Y CPU @ 2.40GHz,8,361,2366
AMD EPYC 7601 32-Core Processor,4,567,1961
Intel(R) Xeon(R) Platinum 8360Y CPU @ 2.40GHz,8,360,2436
2x AMD EPYC 7742 64-Core Processor,32,605,7446
